Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,5.180666923522949,5.822000026702881,5.173999786376953,5.702000141143799,5.538554668426514,13147500
2019-01-03,5.315332889556885,5.388667106628418,4.672667026519775,4.688666820526123,4.554267883300781,28599000
2019-01-04,4.921999931335449,5.3566670417785645,4.886666774749756,5.294666767120361,5.14289665222168,17604000
2019-01-07,5.398666858673096,5.754000186920166,5.280666828155518,5.605332851409912,5.444657802581787,16641000
2019-01-08,5.775332927703857,5.78266716003418,5.298666954040527,5.5193328857421875,5.3611226081848145,14445000
2019-01-09,5.677999973297119,6.021999835968018,5.672667026519775,5.946000099182129,5.775559425354004,17928000
2019-01-10,5.760666847229004,6.137332916259766,5.757332801818848,6.113333225250244,5.93809700012207,12975000
2019-01-11,6.018667221069336,6.451333045959473,5.966667175292969,6.283999919891357,6.1038713455200195,12399000
2019-01-14,6.050000190734863,6.118000030517578,5.890666961669922,5.986667156219482,5.815060615539551,10731000
2019-01-15,6.028666973114014,6.243332862854004,5.952000141143799,6.026000022888184,5.853266716003418,14590500
2019-01-16,6.099999904632568,6.179333209991455,5.870666980743408,5.878666877746582,5.71015739440918,10257000
2019-01-17,5.794000148773193,6.176000118255615,5.654666900634766,6.081999778747559,5.907661437988281,15876000
2019-01-18,6.263332843780518,6.616000175476074,6.161333084106445,6.499332904815674,6.3130316734313965,15720000
2019-01-22,6.315332889556885,6.322000026702881,5.813333034515381,5.952667236328125,5.7820353507995605,18655500
2019-01-23,6.067333221435547,6.125999927520752,5.6606669425964355,5.828667163848877,5.661590576171875,15681000
2019-01-24,6.192667007446289,6.900000095367432,6.192667007446289,6.825333118438721,6.629687309265137,32491500
2019-01-25,6.894667148590088,7.3420000076293945,6.766666889190674,7.261332988739014,7.053188800811768,17100000
2019-01-28,6.453332901000977,6.994667053222656,6.407332897186279,6.818666934967041,6.6232123374938965,14305500
2019-01-29,6.857333183288574,6.906667232513428,6.49666690826416,6.52400016784668,6.336991310119629,9061500
2019-01-30,6.875999927520752,7.1666669845581055,6.656667232513428,7.090000152587891,6.886767864227295,14400000
2019-01-31,7.065999984741211,7.27400016784668,6.900000095367432,7.095333099365234,6.891948223114014,10894500
2019-02-01,7.1066670417785645,7.440667152404785,7.1066670417785645,7.343332767486572,7.132838249206543,10723500
2019-02-04,7.360000133514404,7.455333232879639,7.1666669845581055,7.453999996185303,7.240333080291748,4450500
2019-02-05,7.466667175292969,7.656667232513428,7.409333229064941,7.558000087738037,7.341353416442871,9172500
2019-02-06,7.8333330154418945,8.33666706085205,7.826000213623047,8.165332794189453,7.931276321411133,17931000
2019-02-07,7.866666793823242,7.96733283996582,7.422667026519775,7.619999885559082,7.401574611663818,18687000
2019-02-08,7.2733330726623535,7.624667167663574,7.184667110443115,7.588666915893555,7.371140480041504,10705500
2019-02-11,7.705999851226807,7.748666763305664,7.49066686630249,7.697332859039307,7.476690769195557,8164500
2019-02-12,7.986667156219482,8.235333442687988,7.937333106994629,8.182666778564453,7.948112964630127,13083000
2019-02-13,8.331999778747559,8.442000389099121,8.174667358398438,8.253999710083008,8.017400741577148,12480000
